Round: 1, Attack Type: NS Attack, Error: 0, Time: 0.02017998695373535, NFound: 10, Coef: 10
Round: 2, Attack Type: NS Attack, Error: 0, Time: 0.022429943084716797, NFound: 10, Coef: 10
Round: 3, Attack Type: NS Attack, Error: 0, Time: 0.03850293159484863, NFound: 10, Coef: 10
Round: 4, Attack Type: NS Attack, Error: 0, Time: 0.06469082832336426, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: 0, Time: 0.11121606826782227, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 0.16631293296813965, NFound: 10, Coef: 10
Round: 7, Attack Type: NS Attack, Error: 0, Time: 0.22619962692260742, NFound: 10, Coef: 10
Round: 8, Attack Type: NS Attack, Error: 0, Time: 0.3209700584411621, NFound: 10, Coef: 10
Round: 9, Attack Type: NS Attack, Error: 0, Time: 0.43147993087768555, NFound: 10, Coef: 10
Round: 10, Attack Type: NS Attack, Error: 0, Time: 0.597053050994873, NFound: 10, Coef: 10
Round: 11, Attack Type: NS Attack, Error: 0, Time: 0.7665867805480957, NFound: 10, Coef: 10
Round: 12, Attack Type: NS Attack, Error: 0, Time: 0.961561918258667, NFound: 10, Coef: 10
Round: 13, Attack Type: NS Attack, Error: 0, Time: 1.1827619075775146, NFound: 10, Coef: 10
Round: 14, Attack Type: NS Attack, Error: 0, Time: 1.4765870571136475, NFound: 10, Coef: 10
Round: 15, Attack Type: NS Attack, Error: 0, Time: 1.759239912033081, NFound: 10, Coef: 10
Round: 16, Attack Type: NS Attack, Error: 0, Time: 2.093096971511841, NFound: 10, Coef: 10
Round: 17, Attack Type: NS Attack, Error: 0, Time: 2.5069239139556885, NFound: 10, Coef: 10
Round: 18, Attack Type: NS Attack, Error: 0, Time: 3.058729887008667, NFound: 10, Coef: 10
Round: 19, Attack Type: NS Attack, Error: 0, Time: 3.5607237815856934, NFound: 10, Coef: 10
Round: 20, Attack Type: NS Attack, Error: 0, Time: 4.3155741691589355, NFound: 10, Coef: 10
Round: 21, Attack Type: NS Attack, Error: 0, Time: 4.738708972930908, NFound: 10, Coef: 10
Round: 22, Attack Type: NS Attack, Error: 0, Time: 5.511866331100464, NFound: 10, Coef: 10
Round: 23, Attack Type: NS Attack, Error: 0, Time: 6.367833852767944, NFound: 10, Coef: 10
Round: 24, Attack Type: NS Attack, Error: 0, Time: 7.320466041564941, NFound: 10, Coef: 10
Round: 25, Attack Type: NS Attack, Error: 0, Time: 8.38240122795105, NFound: 10, Coef: 10
Round: 26, Attack Type: NS Attack, Error: 0, Time: 8.820789098739624, NFound: 10, Coef: 10
Round: 27, Attack Type: NS Attack, Error: 0, Time: 10.132343053817749, NFound: 10, Coef: 10
Round: 28, Attack Type: NS Attack, Error: 0, Time: 11.289751052856445, NFound: 10, Coef: 10
Round: 29, Attack Type: NS Attack, Error: 0, Time: 12.63117003440857, NFound: 10, Coef: 10
Round: 30, Attack Type: NS Attack, Error: 0, Time: 13.90289831161499, NFound: 10, Coef: 10
Round: 31, Attack Type: NS Attack, Error: 0, Time: 16.064395904541016, NFound: 10, Coef: 10
Round: 32, Attack Type: NS Attack, Error: 0, Time: 16.872169971466064, NFound: 10, Coef: 10
Round: 33, Attack Type: NS Attack, Error: 0, Time: 18.122185230255127, NFound: 10, Coef: 10
Round: 34, Attack Type: NS Attack, Error: 0, Time: 20.812777042388916, NFound: 10, Coef: 10
Round: 35, Attack Type: NS Attack, Error: 0, Time: 23.65973687171936, NFound: 10, Coef: 10
Round: 36, Attack Type: NS Attack, Error: 0, Time: 25.098814964294434, NFound: 10, Coef: 10
Round: 37, Attack Type: NS Attack, Error: 0, Time: 27.57840895652771, NFound: 10, Coef: 10
Round: 38, Attack Type: NS Attack, Error: 0, Time: 28.99617600440979, NFound: 10, Coef: 10
Round: 39, Attack Type: NS Attack, Error: 0, Time: 32.72365593910217, NFound: 10, Coef: 10
Round: 40, Attack Type: NS Attack, Error: 0, Time: 34.808043003082275, NFound: 10, Coef: 10
Round: 41, Attack Type: NS Attack, Error: 0, Time: 37.880337953567505, NFound: 10, Coef: 10
Round: 42, Attack Type: NS Attack, Error: 0, Time: 38.91353893280029, NFound: 10, Coef: 10
Round: 43, Attack Type: NS Attack, Error: 0, Time: 43.99405002593994, NFound: 10, Coef: 10
Round: 44, Attack Type: NS Attack, Error: 0, Time: 47.685949087142944, NFound: 10, Coef: 10
Round: 45, Attack Type: NS Attack, Error: 0, Time: 51.05864977836609, NFound: 10, Coef: 10
Round: 46, Attack Type: NS Attack, Error: 0, Time: 53.11974287033081, NFound: 10, Coef: 10
Round: 47, Attack Type: NS Attack, Error: 0, Time: 56.0441517829895, NFound: 10, Coef: 10
Round: 48, Attack Type: NS Attack, Error: 0, Time: 65.43047189712524, NFound: 10, Coef: 10
Round: 49, Attack Type: NS Attack, Error: 0, Time: 67.39042806625366, NFound: 10, Coef: 10
