Round: 1, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 2, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 3, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 4, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 5, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 6, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 7, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 8, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 9, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 10, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 11, Attack Type: Statistical Attack, Error: 0, Time: 0.13140416145324707, NFound: 4, Coef: 7
Round: 12, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 13, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 14, Attack Type: Statistical Attack, Error: 0, Time: 0.1515817642211914, NFound: 9, Coef: 9
Round: 15, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 16, Attack Type: Statistical Attack, Error: 0, Time: 0.19389891624450684, NFound: 5, Coef: 7
Round: 17, Attack Type: Statistical Attack, Error: 0, Time: 0.19800186157226562, NFound: 7, Coef: 8
Round: 18, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 19, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 20, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 21, Attack Type: Statistical Attack, Error: 0, Time: 0.18529510498046875, NFound: 10, Coef: 10
Round: 22, Attack Type: Statistical Attack, Error: 0, Time: 0.24588704109191895, NFound: 9, Coef: 9
Round: 23, Attack Type: Statistical Attack, Error: 0, Time: 0.25089001655578613, NFound: 8, Coef: 8
Round: 24, Attack Type: Statistical Attack, Error: 0, Time: 0.25656795501708984, NFound: 9, Coef: 8
Round: 25, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 26, Attack Type: Statistical Attack, Error: 0, Time: 0.262347936630249, NFound: 10, Coef: 10
Round: 27, Attack Type: Statistical Attack, Error: 0, Time: 0.2911560535430908, NFound: 10, Coef: 10
Round: 28, Attack Type: Statistical Attack, Error: 0, Time: 0.2929818630218506, NFound: 5, Coef: 8
Round: 29, Attack Type: Statistical Attack, Error: 0, Time: 0.31707096099853516, NFound: 9, Coef: 9
Round: 30, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 31, Attack Type: Statistical Attack, Error: 0, Time: 0.32038211822509766, NFound: 9, Coef: 9
Round: 32, Attack Type: Statistical Attack, Error: 0, Time: 0.33496809005737305, NFound: 9, Coef: 8
Round: 33, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 35, Attack Type: Statistical Attack, Error: 0, Time: 0.395963191986084, NFound: 10, Coef: 10
Round: 36, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 37, Attack Type: Statistical Attack, Error: 0, Time: 0.4258551597595215, NFound: 9, Coef: 9
Round: 38, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 39, Attack Type: Statistical Attack, Error: 0, Time: 0.48055195808410645, NFound: 8, Coef: 8
Round: 40, Attack Type: Statistical Attack, Error: 0, Time: 0.4636349678039551, NFound: 8, Coef: 9
Round: 41, Attack Type: Statistical Attack, Error: 0, Time: 0.4940969944000244, NFound: 8, Coef: 8
Round: 42, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 43, Attack Type: Statistical Attack, Error: 0, Time: 0.5266637802124023, NFound: 6, Coef: 7
Round: 44, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 45, Attack Type: Statistical Attack, Error: 0, Time: 0.5541598796844482, NFound: 10, Coef: 10
Round: 46, Attack Type: Statistical Attack, Error: 0, Time: 0.9194753170013428, NFound: 10, Coef: 10
Round: 47, Attack Type: Statistical Attack, Error: 0, Time: 0.6021912097930908, NFound: 9, Coef: 9
Round: 48, Attack Type: Statistical Attack, Error: 0, Time: 0.6161987781524658, NFound: 9, Coef: 9
Round: 49, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
