Round: 1, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 2, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 3, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 4, Attack Type: NS Attack, Error: 0, Time: 0.0473940372467041, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 6, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 7, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 8, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 9, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 10, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 11, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 12, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 13, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 14, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 15, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 16, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 17, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 18, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 19, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 20, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 21, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 22, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 23, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 24, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 25, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 26, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 27, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 28, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 29, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 30, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 31, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 32, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 33, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 34, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 35, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 36, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
