Round: 1, Attack Type: NS Attack, Error: 0, Time: 0.022737979888916016, NFound: 10, Coef: 10
Round: 2, Attack Type: NS Attack, Error: 0, Time: 0.021778106689453125, NFound: 10, Coef: 10
Round: 3, Attack Type: NS Attack, Error: 0, Time: 0.0377810001373291, NFound: 10, Coef: 10
Round: 4, Attack Type: NS Attack, Error: 0, Time: 0.05752682685852051, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: 0, Time: 0.09743618965148926, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 0.15085291862487793, NFound: 10, Coef: 10
Round: 7, Attack Type: NS Attack, Error: 0, Time: 0.19423484802246094, NFound: 10, Coef: 10
Round: 8, Attack Type: NS Attack, Error: 0, Time: 0.2896909713745117, NFound: 10, Coef: 10
Round: 9, Attack Type: NS Attack, Error: 0, Time: 0.32938075065612793, NFound: 10, Coef: 10
Round: 10, Attack Type: NS Attack, Error: 0, Time: 0.49993181228637695, NFound: 10, Coef: 10
Round: 11, Attack Type: NS Attack, Error: 0, Time: 0.6411728858947754, NFound: 10, Coef: 10
Round: 12, Attack Type: NS Attack, Error: 0, Time: 0.7975389957427979, NFound: 10, Coef: 10
Round: 13, Attack Type: NS Attack, Error: 0, Time: 1.0286710262298584, NFound: 10, Coef: 10
Round: 14, Attack Type: NS Attack, Error: 0, Time: 1.3063023090362549, NFound: 10, Coef: 10
Round: 15, Attack Type: NS Attack, Error: 0, Time: 1.4803493022918701, NFound: 10, Coef: 10
Round: 16, Attack Type: NS Attack, Error: 0, Time: 1.8255298137664795, NFound: 10, Coef: 10
Round: 17, Attack Type: NS Attack, Error: 0, Time: 2.3026599884033203, NFound: 10, Coef: 10
Round: 18, Attack Type: NS Attack, Error: 0, Time: 2.579331874847412, NFound: 10, Coef: 10
Round: 19, Attack Type: NS Attack, Error: 0, Time: 3.0134027004241943, NFound: 10, Coef: 10
Round: 20, Attack Type: NS Attack, Error: 0, Time: 3.749330997467041, NFound: 10, Coef: 10
Round: 21, Attack Type: NS Attack, Error: 0, Time: 4.1400392055511475, NFound: 10, Coef: 10
Round: 22, Attack Type: NS Attack, Error: 0, Time: 5.009620189666748, NFound: 10, Coef: 10
Round: 23, Attack Type: NS Attack, Error: 0, Time: 5.791244983673096, NFound: 10, Coef: 10
Round: 24, Attack Type: NS Attack, Error: 0, Time: 6.104366779327393, NFound: 10, Coef: 10
Round: 25, Attack Type: NS Attack, Error: 0, Time: 7.5044028759002686, NFound: 10, Coef: 10
Round: 26, Attack Type: NS Attack, Error: 0, Time: 7.724762916564941, NFound: 10, Coef: 10
Round: 27, Attack Type: NS Attack, Error: 0, Time: 9.365869760513306, NFound: 10, Coef: 10
Round: 28, Attack Type: NS Attack, Error: 0, Time: 9.825542211532593, NFound: 10, Coef: 10
Round: 29, Attack Type: NS Attack, Error: 0, Time: 11.984004259109497, NFound: 10, Coef: 10
Round: 30, Attack Type: NS Attack, Error: 0, Time: 12.521159172058105, NFound: 10, Coef: 10
Round: 31, Attack Type: NS Attack, Error: 0, Time: 14.519927740097046, NFound: 10, Coef: 10
Round: 32, Attack Type: NS Attack, Error: 0, Time: 16.529315948486328, NFound: 10, Coef: 10
Round: 33, Attack Type: NS Attack, Error: 0, Time: 16.819759130477905, NFound: 10, Coef: 10
Round: 34, Attack Type: NS Attack, Error: 0, Time: 18.207780838012695, NFound: 10, Coef: 10
Round: 35, Attack Type: NS Attack, Error: 0, Time: 20.32076597213745, NFound: 10, Coef: 10
Round: 36, Attack Type: NS Attack, Error: 0, Time: 20.842847108840942, NFound: 10, Coef: 10
Round: 37, Attack Type: NS Attack, Error: 0, Time: 26.881192922592163, NFound: 10, Coef: 10
Round: 38, Attack Type: NS Attack, Error: 0, Time: 30.849923849105835, NFound: 10, Coef: 10
Round: 39, Attack Type: NS Attack, Error: 0, Time: 29.159220933914185, NFound: 10, Coef: 10
Round: 40, Attack Type: NS Attack, Error: 0, Time: 29.789042949676514, NFound: 10, Coef: 10
Round: 41, Attack Type: NS Attack, Error: 0, Time: 35.743473052978516, NFound: 10, Coef: 10
Round: 42, Attack Type: NS Attack, Error: 0, Time: 36.519168853759766, NFound: 10, Coef: 10
Round: 43, Attack Type: NS Attack, Error: 0, Time: 38.597864866256714, NFound: 10, Coef: 10
Round: 44, Attack Type: NS Attack, Error: 0, Time: 41.092264890670776, NFound: 10, Coef: 10
Round: 45, Attack Type: NS Attack, Error: 0, Time: 44.7651309967041, NFound: 10, Coef: 10
Round: 46, Attack Type: NS Attack, Error: 0, Time: 46.93160009384155, NFound: 10, Coef: 10
Round: 47, Attack Type: NS Attack, Error: 0, Time: 51.68708610534668, NFound: 10, Coef: 10
Round: 48, Attack Type: NS Attack, Error: 0, Time: 54.6119601726532, NFound: 10, Coef: 10
Round: 49, Attack Type: NS Attack, Error: 0, Time: 57.958473920822144, NFound: 10, Coef: 10
