Round: 1, Attack Type: NS Attack, Error: 0, Time: 0.29673314094543457, NFound: 10, Coef: 10
Round: 1, Attack Type: Multi Attack, Error: 0, Time: 0.32531309127807617, NFound: 10, Coef: 10
Round: 1, Attack Type: Statistical Attack, Error: 4, Time: 0.32531309127807617, NFound: 10, Coef: 10
Round: 2, Attack Type: NS Attack, Error: 0, Time: 0.2836282253265381, NFound: 10, Coef: 10
Round: 2, Attack Type: Multi Attack, Error: 0, Time: 0.31985998153686523, NFound: 10, Coef: 10
Round: 2, Attack Type: Statistical Attack, Error: 4, Time: 0.31985998153686523, NFound: 10, Coef: 10
Round: 3, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 3, Attack Type: Multi Attack, Error: 1, Time: 0.32627296447753906, NFound: 10, Coef: 10
Round: 3, Attack Type: Statistical Attack, Error: 1, Time: 0.08610916137695312, NFound: 5, Coef: 5
Round: 4, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 4, Attack Type: Multi Attack, Error: 1, Time: 0.3566019535064697, NFound: 10, Coef: 10
Round: 4, Attack Type: Statistical Attack, Error: 4, Time: 0.3566019535064697, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: 0, Time: 0.3043019771575928, NFound: 10, Coef: 10
Round: 5, Attack Type: Multi Attack, Error: 0, Time: 0.3349771499633789, NFound: 10, Coef: 10
Round: 5, Attack Type: Statistical Attack, Error: 4, Time: 0.3349771499633789, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 0.29479002952575684, NFound: 10, Coef: 10
Round: 6, Attack Type: Multi Attack, Error: 0, Time: 0.33689093589782715, NFound: 10, Coef: 10
Round: 6, Attack Type: Statistical Attack, Error: 0, Time: 0.06760692596435547, NFound: 9, Coef: 9
Round: 7, Attack Type: NS Attack, Error: 0, Time: 0.2925550937652588, NFound: 10, Coef: 10
Round: 7, Attack Type: Multi Attack, Error: 0, Time: 0.5832366943359375, NFound: 10, Coef: 10
Round: 7, Attack Type: Statistical Attack, Error: 0, Time: 0.07365775108337402, NFound: 5, Coef: 7
Round: 8, Attack Type: NS Attack, Error: 0, Time: 0.31699299812316895, NFound: 10, Coef: 10
Round: 8, Attack Type: Multi Attack, Error: 0, Time: 0.351102352142334, NFound: 10, Coef: 10
Round: 8, Attack Type: Statistical Attack, Error: 0, Time: 0.07011198997497559, NFound: 2, Coef: 6
Round: 9, Attack Type: NS Attack, Error: 0, Time: 0.29972290992736816, NFound: 10, Coef: 10
Round: 9, Attack Type: Multi Attack, Error: 0, Time: 0.3395519256591797, NFound: 10, Coef: 10
Round: 9, Attack Type: Statistical Attack, Error: 4, Time: 0.3395519256591797, NFound: 10, Coef: 10
Round: 10, Attack Type: NS Attack, Error: 0, Time: 0.318723201751709, NFound: 10, Coef: 10
Round: 10, Attack Type: Multi Attack, Error: 0, Time: 0.3278489112854004, NFound: 10, Coef: 10
Round: 10, Attack Type: Statistical Attack, Error: 0, Time: 0.07439208030700684, NFound: 6, Coef: 8
Round: 11, Attack Type: NS Attack, Error: 0, Time: 0.3030412197113037, NFound: 10, Coef: 10
Round: 11, Attack Type: Multi Attack, Error: 0, Time: 0.35047078132629395, NFound: 10, Coef: 10
Round: 11, Attack Type: Statistical Attack, Error: 0, Time: 0.07309794425964355, NFound: 8, Coef: 8
Round: 12, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 12, Attack Type: Multi Attack, Error: 1, Time: 0.3269309997558594, NFound: 10, Coef: 10
Round: 12, Attack Type: Statistical Attack, Error: 4, Time: 0.3269309997558594, NFound: 10, Coef: 10
Round: 13, Attack Type: NS Attack, Error: 2, Time: None, NFound: None, Coef: None
Round: 13, Attack Type: Multi Attack, Error: 2, Time: 0.32210206985473633, NFound: 10, Coef: 10
Round: 13, Attack Type: Statistical Attack, Error: 2, Time: 0.10631108283996582, NFound: 7, Coef: 6
Round: 14, Attack Type: NS Attack, Error: 0, Time: 0.2884540557861328, NFound: 10, Coef: 10
Round: 14, Attack Type: Multi Attack, Error: 0, Time: 0.33806300163269043, NFound: 10, Coef: 10
Round: 14, Attack Type: Statistical Attack, Error: 0, Time: 0.10131287574768066, NFound: 2, Coef: 8
Round: 15, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 15, Attack Type: Multi Attack, Error: 1, Time: 0.33701181411743164, NFound: 10, Coef: 10
Round: 15, Attack Type: Statistical Attack, Error: 4, Time: 0.33701181411743164, NFound: 10, Coef: 10
Round: 16, Attack Type: NS Attack, Error: 2, Time: None, NFound: None, Coef: None
Round: 16, Attack Type: Multi Attack, Error: 2, Time: 0.3177661895751953, NFound: 10, Coef: 10
Round: 16, Attack Type: Statistical Attack, Error: 2, Time: 0.06891322135925293, NFound: 2, Coef: 6
Round: 17, Attack Type: NS Attack, Error: 0, Time: 0.30064892768859863, NFound: 10, Coef: 10
Round: 17, Attack Type: Multi Attack, Error: 0, Time: 0.32410097122192383, NFound: 10, Coef: 10
Round: 17, Attack Type: Statistical Attack, Error: 4, Time: 0.32410097122192383, NFound: 10, Coef: 10
Round: 18, Attack Type: NS Attack, Error: 0, Time: 0.28715991973876953, NFound: 10, Coef: 10
Round: 18, Attack Type: Multi Attack, Error: 0, Time: 0.3397369384765625, NFound: 10, Coef: 10
Round: 18, Attack Type: Statistical Attack, Error: 0, Time: 0.09905600547790527, NFound: 3, Coef: 5
Round: 19, Attack Type: NS Attack, Error: 0, Time: 0.2972390651702881, NFound: 10, Coef: 10
Round: 19, Attack Type: Multi Attack, Error: 0, Time: 0.3444242477416992, NFound: 10, Coef: 10
Round: 19, Attack Type: Statistical Attack, Error: 5, Time: 0.3444242477416992, NFound: 10, Coef: 10
Round: 20, Attack Type: NS Attack, Error: 2, Time: None, NFound: None, Coef: None
Round: 20, Attack Type: Multi Attack, Error: 2, Time: 0.32587099075317383, NFound: 10, Coef: 10
Round: 20, Attack Type: Statistical Attack, Error: 2, Time: 0.09546589851379395, NFound: 1, Coef: 6
Round: 21, Attack Type: NS Attack, Error: 0, Time: 0.30118680000305176, NFound: 10, Coef: 10
Round: 21, Attack Type: Multi Attack, Error: 0, Time: 0.35251784324645996, NFound: 10, Coef: 10
Round: 21, Attack Type: Statistical Attack, Error: 0, Time: 0.07084131240844727, NFound: 9, Coef: 9
Round: 22, Attack Type: NS Attack, Error: 0, Time: 0.287708044052124, NFound: 10, Coef: 10
Round: 22, Attack Type: Multi Attack, Error: 0, Time: 0.33530306816101074, NFound: 10, Coef: 10
Round: 22, Attack Type: Statistical Attack, Error: 5, Time: 0.33530306816101074, NFound: 10, Coef: 10
Round: 23, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 23, Attack Type: Multi Attack, Error: 1, Time: 0.32469677925109863, NFound: 10, Coef: 10
Round: 23, Attack Type: Statistical Attack, Error: 4, Time: 0.32469677925109863, NFound: 10, Coef: 10
Round: 24, Attack Type: NS Attack, Error: 0, Time: 0.28562307357788086, NFound: 10, Coef: 10
Round: 24, Attack Type: Multi Attack, Error: 0, Time: 0.33921098709106445, NFound: 10, Coef: 10
Round: 24, Attack Type: Statistical Attack, Error: 4, Time: 0.33921098709106445, NFound: 10, Coef: 10
