Round: 1, Attack Type: NS Attack, Error: 0, Time: 0.3675870895385742, NFound: 10, Coef: 10
Round: 1, Attack Type: Multi Attack, Error: 0, Time: 0.39315104484558105, NFound: 10, Coef: 10
Round: 1, Attack Type: Statistical Attack, Error: 4, Time: 0.39315104484558105, NFound: 10, Coef: 10
Round: 2, Attack Type: NS Attack, Error: 0, Time: 0.4025850296020508, NFound: 10, Coef: 10
Round: 2, Attack Type: Multi Attack, Error: 0, Time: 0.41684675216674805, NFound: 10, Coef: 10
Round: 2, Attack Type: Statistical Attack, Error: 0, Time: 0.1147310733795166, NFound: 6, Coef: 7
Round: 3, Attack Type: NS Attack, Error: 0, Time: 0.3891429901123047, NFound: 10, Coef: 10
Round: 3, Attack Type: Multi Attack, Error: 0, Time: 0.41958117485046387, NFound: 10, Coef: 10
Round: 3, Attack Type: Statistical Attack, Error: 4, Time: 0.41958117485046387, NFound: 10, Coef: 10
Round: 4, Attack Type: NS Attack, Error: 0, Time: 0.3644280433654785, NFound: 10, Coef: 10
Round: 4, Attack Type: Multi Attack, Error: 0, Time: 0.4125659465789795, NFound: 10, Coef: 10
Round: 4, Attack Type: Statistical Attack, Error: 4, Time: 0.4125659465789795, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: 0, Time: 0.38643693923950195, NFound: 10, Coef: 10
Round: 5, Attack Type: Multi Attack, Error: 0, Time: 0.4154810905456543, NFound: 10, Coef: 10
Round: 5, Attack Type: Statistical Attack, Error: 0, Time: 0.08511877059936523, NFound: 4, Coef: 6
Round: 6, Attack Type: NS Attack, Error: 0, Time: 0.3700249195098877, NFound: 10, Coef: 10
Round: 6, Attack Type: Multi Attack, Error: 0, Time: 0.4164540767669678, NFound: 10, Coef: 10
Round: 6, Attack Type: Statistical Attack, Error: 4, Time: 0.4164540767669678, NFound: 10, Coef: 10
Round: 7, Attack Type: NS Attack, Error: 0, Time: 0.3779869079589844, NFound: 10, Coef: 10
Round: 7, Attack Type: Multi Attack, Error: 0, Time: 0.4109811782836914, NFound: 10, Coef: 10
Round: 7, Attack Type: Statistical Attack, Error: 0, Time: 0.07139301300048828, NFound: 8, Coef: 8
Round: 8, Attack Type: NS Attack, Error: 2, Time: None, NFound: None, Coef: None
Round: 8, Attack Type: Multi Attack, Error: 2, Time: 0.4213581085205078, NFound: 10, Coef: 10
Round: 8, Attack Type: Statistical Attack, Error: 2, Time: 0.07499575614929199, NFound: 6, Coef: 8
Round: 9, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 9, Attack Type: Multi Attack, Error: 1, Time: 0.3981161117553711, NFound: 10, Coef: 10
Round: 9, Attack Type: Statistical Attack, Error: 1, Time: 0.075469970703125, NFound: 5, Coef: 5
Round: 10, Attack Type: NS Attack, Error: 0, Time: 0.4116637706756592, NFound: 10, Coef: 10
Round: 10, Attack Type: Multi Attack, Error: 0, Time: 0.4806060791015625, NFound: 10, Coef: 10
Round: 10, Attack Type: Statistical Attack, Error: 4, Time: 0.4806060791015625, NFound: 10, Coef: 10
Round: 11, Attack Type: NS Attack, Error: 0, Time: 0.3929097652435303, NFound: 10, Coef: 10
Round: 11, Attack Type: Multi Attack, Error: 0, Time: 0.45528697967529297, NFound: 10, Coef: 10
Round: 11, Attack Type: Statistical Attack, Error: 4, Time: 0.45528697967529297, NFound: 10, Coef: 10
Round: 12, Attack Type: NS Attack, Error: 0, Time: 0.3922128677368164, NFound: 10, Coef: 10
Round: 12, Attack Type: Multi Attack, Error: 0, Time: 0.4468560218811035, NFound: 10, Coef: 10
Round: 12, Attack Type: Statistical Attack, Error: 0, Time: 0.0791170597076416, NFound: 6, Coef: 7
Round: 13, Attack Type: NS Attack, Error: 0, Time: 0.387911319732666, NFound: 10, Coef: 10
Round: 13, Attack Type: Multi Attack, Error: 0, Time: 0.43751096725463867, NFound: 10, Coef: 10
Round: 13, Attack Type: Statistical Attack, Error: 0, Time: 0.07730507850646973, NFound: 1, Coef: 8
Round: 14, Attack Type: NS Attack, Error: 0, Time: 0.37984490394592285, NFound: 10, Coef: 10
Round: 14, Attack Type: Multi Attack, Error: 0, Time: 0.4249391555786133, NFound: 10, Coef: 10
Round: 14, Attack Type: Statistical Attack, Error: 4, Time: 0.4249391555786133, NFound: 10, Coef: 10
Round: 15, Attack Type: NS Attack, Error: 0, Time: 0.39199185371398926, NFound: 10, Coef: 10
Round: 15, Attack Type: Multi Attack, Error: 0, Time: 0.45261693000793457, NFound: 10, Coef: 10
Round: 15, Attack Type: Statistical Attack, Error: 4, Time: 0.45261693000793457, NFound: 10, Coef: 10
Round: 16, Attack Type: NS Attack, Error: 1, Time: None, NFound: None, Coef: None
Round: 16, Attack Type: Multi Attack, Error: 1, Time: 0.43225789070129395, NFound: 10, Coef: 10
Round: 16, Attack Type: Statistical Attack, Error: 1, Time: 0.08018994331359863, NFound: 4, Coef: 6
Round: 17, Attack Type: NS Attack, Error: 0, Time: 0.39195966720581055, NFound: 10, Coef: 10
Round: 17, Attack Type: Multi Attack, Error: 0, Time: 0.45884108543395996, NFound: 10, Coef: 10
Round: 17, Attack Type: Statistical Attack, Error: 0, Time: 0.0800161361694336, NFound: 4, Coef: 7
Round: 18, Attack Type: NS Attack, Error: 0, Time: 0.38946104049682617, NFound: 10, Coef: 10
Round: 18, Attack Type: Multi Attack, Error: 0, Time: 0.6056139469146729, NFound: 10, Coef: 10
Round: 18, Attack Type: Statistical Attack, Error: 4, Time: 0.6056139469146729, NFound: 10, Coef: 10
Round: 19, Attack Type: NS Attack, Error: 0, Time: 0.37445616722106934, NFound: 10, Coef: 10
