Round: 1, Attack Type: Statistical Attack, Error: 0, Time: 0.08463597297668457, NFound: 0, Coef: 1
Round: 2, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 3, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 4, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 5, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 6, Attack Type: Statistical Attack, Error: 5, Time: None, NFound: None, Coef: None
Round: 7, Attack Type: Statistical Attack, Error: 0, Time: 0.07581782341003418, NFound: 1, Coef: 3
Round: 8, Attack Type: Statistical Attack, Error: 0, Time: 0.0832662582397461, NFound: 3, Coef: 8
Round: 9, Attack Type: Statistical Attack, Error: 0, Time: 0.10927724838256836, NFound: 4, Coef: 7
Round: 10, Attack Type: Statistical Attack, Error: 0, Time: 0.10645174980163574, NFound: 5, Coef: 7
Round: 11, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 12, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 13, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 14, Attack Type: Statistical Attack, Error: 0, Time: 0.13515305519104004, NFound: 2, Coef: 5
Round: 15, Attack Type: Statistical Attack, Error: 0, Time: 0.140150785446167, NFound: 2, Coef: 7
Round: 16, Attack Type: Statistical Attack, Error: 0, Time: 0.140275239944458, NFound: 5, Coef: 6
Round: 17, Attack Type: Statistical Attack, Error: 0, Time: 0.1554419994354248, NFound: 2, Coef: 8
Round: 18, Attack Type: Statistical Attack, Error: 0, Time: 0.1651320457458496, NFound: 8, Coef: 8
Round: 19, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 20, Attack Type: Statistical Attack, Error: 0, Time: 0.17530322074890137, NFound: 1, Coef: 8
Round: 21, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 22, Attack Type: Statistical Attack, Error: 0, Time: 0.19052624702453613, NFound: 1, Coef: 6
Round: 23, Attack Type: Statistical Attack, Error: 0, Time: 0.22562718391418457, NFound: 2, Coef: 8
Round: 24, Attack Type: Statistical Attack, Error: 0, Time: 0.23827385902404785, NFound: 1, Coef: 6
Round: 25, Attack Type: Statistical Attack, Error: 0, Time: 0.2471170425415039, NFound: 1, Coef: 8
Round: 26, Attack Type: Statistical Attack, Error: 0, Time: 0.2551889419555664, NFound: 4, Coef: 8
Round: 27, Attack Type: Statistical Attack, Error: 0, Time: 0.2659420967102051, NFound: 1, Coef: 7
Round: 28, Attack Type: Statistical Attack, Error: 0, Time: 0.2847938537597656, NFound: 1, Coef: 8
Round: 29, Attack Type: Statistical Attack, Error: 0, Time: 0.28225016593933105, NFound: 2, Coef: 8
Round: 30, Attack Type: Statistical Attack, Error: 0, Time: 0.28159427642822266, NFound: 2, Coef: 8
Round: 31, Attack Type: Statistical Attack, Error: 0, Time: 0.32895374298095703, NFound: 1, Coef: 7
Round: 32, Attack Type: Statistical Attack, Error: 0, Time: 0.32561612129211426, NFound: 2, Coef: 8
Round: 33, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 34, Attack Type: Statistical Attack, Error: 0, Time: 0.3407578468322754, NFound: 2, Coef: 6
Round: 35, Attack Type: Statistical Attack, Error: 0, Time: 0.34955811500549316, NFound: 1, Coef: 7
Round: 36, Attack Type: Statistical Attack, Error: 0, Time: 0.36743974685668945, NFound: 2, Coef: 7
Round: 37, Attack Type: Statistical Attack, Error: 0, Time: 0.40196990966796875, NFound: 1, Coef: 8
Round: 38, Attack Type: Statistical Attack, Error: 0, Time: 0.4209721088409424, NFound: 2, Coef: 8
Round: 39, Attack Type: Statistical Attack, Error: 0, Time: 0.6555631160736084, NFound: 2, Coef: 8
Round: 40, Attack Type: Statistical Attack, Error: 0, Time: 0.4287750720977783, NFound: 2, Coef: 8
Round: 41, Attack Type: Statistical Attack, Error: 0, Time: 0.45557093620300293, NFound: 2, Coef: 8
Round: 42, Attack Type: Statistical Attack, Error: 0, Time: 0.4961891174316406, NFound: 2, Coef: 8
Round: 43, Attack Type: Statistical Attack, Error: 0, Time: 0.4899299144744873, NFound: 2, Coef: 8
Round: 44, Attack Type: Statistical Attack, Error: 0, Time: 0.5003390312194824, NFound: 1, Coef: 8
Round: 45, Attack Type: Statistical Attack, Error: 0, Time: 0.5630807876586914, NFound: 1, Coef: 7
Round: 46, Attack Type: Statistical Attack, Error: 0, Time: 0.5326440334320068, NFound: 1, Coef: 8
Round: 47, Attack Type: Statistical Attack, Error: 0, Time: 0.5512838363647461, NFound: 2, Coef: 8
Round: 48, Attack Type: Statistical Attack, Error: 0, Time: 0.5627381801605225, NFound: 1, Coef: 8
Round: 49, Attack Type: Statistical Attack, Error: 0, Time: 0.8675413131713867, NFound: 1, Coef: 8
