Round: 1, Attack Type: NS Attack, Error: 0, Time: 22.862350702285767, NFound: 10, Coef: 10
Round: 1, Attack Type: Multi Attack, Error: 0, Time: 0.33361196517944336, NFound: 10, Coef: 10
Round: 1, Attack Type: Statistical Attack, Error: 0, Time: 0.3232910633087158, NFound: 2, Coef: 6
Round: 2, Attack Type: NS Attack, Error: 0, Time: 18.398616075515747, NFound: 10, Coef: 10
Round: 2, Attack Type: Multi Attack, Error: 0, Time: 0.33286595344543457, NFound: 10, Coef: 10
Round: 2, Attack Type: Statistical Attack, Error: 0, Time: 0.3456461429595947, NFound: 1, Coef: 8
Round: 3, Attack Type: NS Attack, Error: 0, Time: 18.713722944259644, NFound: 10, Coef: 10
Round: 3, Attack Type: Multi Attack, Error: 0, Time: 0.3517420291900635, NFound: 10, Coef: 10
Round: 3, Attack Type: Statistical Attack, Error: 0, Time: 0.45084309577941895, NFound: 3, Coef: 7
Round: 4, Attack Type: NS Attack, Error: 0, Time: 20.218061208724976, NFound: 10, Coef: 10
Round: 4, Attack Type: Multi Attack, Error: 0, Time: 0.325789213180542, NFound: 10, Coef: 10
Round: 4, Attack Type: Statistical Attack, Error: 0, Time: 0.32276296615600586, NFound: 3, Coef: 8
Round: 5, Attack Type: NS Attack, Error: 0, Time: 19.95897102355957, NFound: 10, Coef: 10
Round: 5, Attack Type: Multi Attack, Error: 0, Time: 0.333845853805542, NFound: 10, Coef: 10
Round: 5, Attack Type: Statistical Attack, Error: 4, Time: 0.333845853805542, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 20.077717065811157, NFound: 10, Coef: 10
Round: 6, Attack Type: Multi Attack, Error: 0, Time: 0.33536601066589355, NFound: 10, Coef: 10
Round: 6, Attack Type: Statistical Attack, Error: 0, Time: 0.33076977729797363, NFound: 7, Coef: 7
Round: 7, Attack Type: NS Attack, Error: 0, Time: 20.121188163757324, NFound: 10, Coef: 10
Round: 7, Attack Type: Multi Attack, Error: 0, Time: 0.3358900547027588, NFound: 10, Coef: 10
Round: 7, Attack Type: Statistical Attack, Error: 0, Time: 0.32827210426330566, NFound: 8, Coef: 8
Round: 8, Attack Type: NS Attack, Error: 0, Time: 20.145700931549072, NFound: 10, Coef: 10
Round: 8, Attack Type: Multi Attack, Error: 0, Time: 0.3309969902038574, NFound: 10, Coef: 10
Round: 8, Attack Type: Statistical Attack, Error: 0, Time: 0.32989025115966797, NFound: 9, Coef: 9
Round: 9, Attack Type: NS Attack, Error: 0, Time: 20.294074773788452, NFound: 10, Coef: 10
Round: 9, Attack Type: Multi Attack, Error: 0, Time: 0.3380281925201416, NFound: 10, Coef: 10
Round: 9, Attack Type: Statistical Attack, Error: 4, Time: 0.3380281925201416, NFound: 10, Coef: 10
Round: 10, Attack Type: NS Attack, Error: 0, Time: 20.00259494781494, NFound: 10, Coef: 10
Round: 10, Attack Type: Multi Attack, Error: 0, Time: 0.4096100330352783, NFound: 10, Coef: 10
Round: 10, Attack Type: Statistical Attack, Error: 0, Time: 0.3380608558654785, NFound: 2, Coef: 8
Round: 11, Attack Type: NS Attack, Error: 0, Time: 19.26983880996704, NFound: 10, Coef: 10
