Round: 1, Attack Type: NS Attack, Error: 0, Time: 24.442707061767578, NFound: 10, Coef: 10
Round: 1, Attack Type: Multi Attack, Error: 0, Time: 0.3795766830444336, NFound: 10, Coef: 10
Round: 1, Attack Type: Statistical Attack, Error: 0, Time: 0.38410282135009766, NFound: 2, Coef: 8
Round: 2, Attack Type: NS Attack, Error: 0, Time: 24.613698959350586, NFound: 10, Coef: 10
Round: 2, Attack Type: Multi Attack, Error: 0, Time: 0.369265079498291, NFound: 10, Coef: 10
Round: 2, Attack Type: Statistical Attack, Error: 0, Time: 0.3963010311126709, NFound: 1, Coef: 8
Round: 3, Attack Type: NS Attack, Error: 0, Time: 24.68718194961548, NFound: 10, Coef: 10
Round: 3, Attack Type: Multi Attack, Error: 0, Time: 0.369265079498291, NFound: 10, Coef: 10
Round: 3, Attack Type: Statistical Attack, Error: 0, Time: 0.3963010311126709, NFound: 1, Coef: 8
Round: 4, Attack Type: NS Attack, Error: 0, Time: 24.74786400794983, NFound: 10, Coef: 10
Round: 4, Attack Type: Multi Attack, Error: 0, Time: 0.3855559825897217, NFound: 10, Coef: 10
Round: 4, Attack Type: Statistical Attack, Error: 0, Time: 0.39718198776245117, NFound: 2, Coef: 8
Round: 5, Attack Type: NS Attack, Error: 0, Time: 25.12739109992981, NFound: 10, Coef: 10
Round: 5, Attack Type: Multi Attack, Error: 0, Time: 0.3855559825897217, NFound: 10, Coef: 10
Round: 5, Attack Type: Statistical Attack, Error: 0, Time: 0.39718198776245117, NFound: 2, Coef: 8
Round: 6, Attack Type: NS Attack, Error: 0, Time: 23.926785945892334, NFound: 10, Coef: 10
Round: 6, Attack Type: Multi Attack, Error: 0, Time: 0.40360498428344727, NFound: 10, Coef: 10
Round: 6, Attack Type: Statistical Attack, Error: 0, Time: 0.4101109504699707, NFound: 1, Coef: 8
Round: 7, Attack Type: NS Attack, Error: 0, Time: 24.99420404434204, NFound: 10, Coef: 10
Round: 7, Attack Type: Multi Attack, Error: 0, Time: 0.4319188594818115, NFound: 10, Coef: 10
Round: 7, Attack Type: Statistical Attack, Error: 0, Time: 0.5123031139373779, NFound: 2, Coef: 8
Round: 8, Attack Type: NS Attack, Error: 0, Time: 25.414501905441284, NFound: 10, Coef: 10
Round: 8, Attack Type: Multi Attack, Error: 0, Time: 0.37851977348327637, NFound: 10, Coef: 10
Round: 8, Attack Type: Statistical Attack, Error: 0, Time: 0.3965270519256592, NFound: 2, Coef: 8
Round: 9, Attack Type: NS Attack, Error: 0, Time: 24.102256774902344, NFound: 10, Coef: 10
Round: 9, Attack Type: Multi Attack, Error: 0, Time: 0.3994927406311035, NFound: 10, Coef: 10
Round: 9, Attack Type: Statistical Attack, Error: 0, Time: 0.40674901008605957, NFound: 1, Coef: 7
