Round: 1, Attack Type: NS Attack, Error: 0, Time: 12.05751895904541, NFound: 10, Coef: 10
Round: 1, Attack Type: Multi Attack, Error: 0, Time: 0.28890490531921387, NFound: 10, Coef: 10
Round: 1, Attack Type: Statistical Attack, Error: 0, Time: 0.262645959854126, NFound: 10, Coef: 10
Round: 2, Attack Type: NS Attack, Error: 0, Time: 11.10338282585144, NFound: 10, Coef: 10
Round: 2, Attack Type: Multi Attack, Error: 0, Time: 0.2728860378265381, NFound: 10, Coef: 10
Round: 2, Attack Type: Statistical Attack, Error: 0, Time: 0.24623489379882812, NFound: 10, Coef: 10
Round: 3, Attack Type: NS Attack, Error: 0, Time: 11.443925857543945, NFound: 10, Coef: 10
Round: 3, Attack Type: Multi Attack, Error: 0, Time: 0.27363109588623047, NFound: 10, Coef: 10
Round: 3, Attack Type: Statistical Attack, Error: 0, Time: 0.26346778869628906, NFound: 10, Coef: 10
Round: 4, Attack Type: NS Attack, Error: 0, Time: 12.099976062774658, NFound: 10, Coef: 10
Round: 4, Attack Type: Multi Attack, Error: 0, Time: 0.2742922306060791, NFound: 10, Coef: 10
Round: 4, Attack Type: Statistical Attack, Error: 0, Time: 0.25322914123535156, NFound: 10, Coef: 10
Round: 5, Attack Type: NS Attack, Error: 0, Time: 11.117958307266235, NFound: 10, Coef: 10
Round: 5, Attack Type: Multi Attack, Error: 0, Time: 0.27337098121643066, NFound: 10, Coef: 10
Round: 5, Attack Type: Statistical Attack, Error: 0, Time: 0.2536349296569824, NFound: 10, Coef: 10
Round: 6, Attack Type: NS Attack, Error: 0, Time: 11.942682027816772, NFound: 10, Coef: 10
Round: 6, Attack Type: Multi Attack, Error: 0, Time: 0.2761223316192627, NFound: 10, Coef: 10
Round: 6, Attack Type: Statistical Attack, Error: 0, Time: 0.2603447437286377, NFound: 10, Coef: 10
Round: 7, Attack Type: NS Attack, Error: 0, Time: 11.53311800956726, NFound: 10, Coef: 10
Round: 7, Attack Type: Multi Attack, Error: 0, Time: 0.26474714279174805, NFound: 10, Coef: 10
Round: 7, Attack Type: Statistical Attack, Error: 0, Time: 0.2496941089630127, NFound: 10, Coef: 10
Round: 8, Attack Type: NS Attack, Error: 0, Time: 11.472957849502563, NFound: 10, Coef: 10
Round: 8, Attack Type: Multi Attack, Error: 0, Time: 0.2945899963378906, NFound: 10, Coef: 10
Round: 8, Attack Type: Statistical Attack, Error: 0, Time: 0.256195068359375, NFound: 10, Coef: 10
Round: 9, Attack Type: NS Attack, Error: 0, Time: 10.863155841827393, NFound: 10, Coef: 10
Round: 9, Attack Type: Multi Attack, Error: 0, Time: 0.2728288173675537, NFound: 10, Coef: 10
